DocumentName,DocumentType,DocumentCategory,Version,Status,SiteName,ProjectId,UploadDate,ApprovalDate,ExpirationDate,ApprovedBy,FileUrl,FileSize
Protocol v1.0,Protocol,Regulatory,1.0,Approved,Site 001,PROT-2024-001,2024-01-15,2024-01-20,2025-01-15,Dr. Smith,https://example.com/docs/protocol-v1.pdf,2.5 MB
ICF English,ICF,Regulatory,2.1,Approved,Site 001,PROT-2024-001,2024-01-20,2024-01-25,2025-01-20,Dr. Smith,https://example.com/docs/icf-english.pdf,1.2 MB
IRB Approval Letter,IRB,Regulatory,1.0,Approved,Site 001,PROT-2024-001,2024-01-10,2024-01-12,2025-01-10,IRB Committee,https://example.com/docs/irb-approval.pdf,0.8 MB
Protocol Amendment 1,Protocol,Regulatory,1.1,Under Review,Site 001,PROT-2024-001,2024-06-15,,2025-06-15,,https://example.com/docs/protocol-amendment-1.pdf,1.5 MB
Site Agreement,Site File,Contractual,1.0,Approved,Site 002,PROT-2024-001,2024-02-01,2024-02-05,2025-02-01,Legal Team,https://example.com/docs/site-agreement-002.pdf,3.2 MB
Investigator CV,Investigator,Regulatory,3.0,Approved,Site 002,PROT-2024-001,2024-02-10,2024-02-12,2025-02-10,Dr. Johnson,https://example.com/docs/investigator-cv.pdf,0.5 MB
Medical License,Investigator,Regulatory,1.0,Approved,Site 002,PROT-2024-001,2024-02-10,2024-02-12,2025-02-10,Dr. Johnson,https://example.com/docs/medical-license.pdf,0.3 MB
ICF Spanish,ICF,Regulatory,2.1,Approved,Site 003,PROT-2024-001,2024-03-01,2024-03-05,2025-03-01,Dr. Martinez,https://example.com/docs/icf-spanish.pdf,1.2 MB
Laboratory Manual,Lab Manual,Operational,1.0,Approved,Site 001,PROT-2024-001,2024-01-25,2024-01-30,2025-01-25,Lab Director,https://example.com/docs/lab-manual.pdf,5.8 MB
Pharmacy Manual,Pharmacy Manual,Operational,1.0,Approved,Site 001,PROT-2024-001,2024-01-25,2024-01-30,2025-01-25,Pharmacy Director,https://example.com/docs/pharmacy-manual.pdf,4.2 MB
